StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID69,QID3,QID4,DOB1#1_1,DOB1#2_1,DOB1#3_1,QID10,QID11,QID12,QID13,QID14,QID15,QID63,QID72,lifesat3,QID74,QID75,QID76,QID77,QID78,QID79,QID80,QID81,QID16,QID17,QID18,Q16,Q17,Q18,Q19,Q20,Q21,Q22,QID26,QID27,QID28,QID29,QID30,QID31,QID32,QID33,QID34,QID35,QID36,QID37,QID38,QID39,QID40,QID41,QID42,QID43,QID44,QID45,QID46,QID47,QID48,QID49,QID50,QID51,QID52,QID53,QID54,QID83,QID84,QID85,QID86,fas5,QID88,QID101,QID101_5_TEXT,QID89,School contact,School name,School seed code,Local Authority
2024-07-18 11:09:42,2024-07-18 11:09:43,Survey Test,100,1,True,2024-07-18 11:09:43,R_2fOjxLCOU69Eevs,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:43,2024-07-18 11:09:43,Survey Test,100,0,True,2024-07-18 11:09:43,R_eRwqeGF3wcHYU74,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:43,2024-07-18 11:09:43,Survey Test,100,0,True,2024-07-18 11:09:43,R_a3LxRfa0a8mlHHo,test,,"Yes, I am happy to take part",Prefer not to say,In another way,March,9,1966,Poor,Prefer not to say,More than half of the time,More than half of the time,Prefer not to say,At no time,4,Prefer not to say,1,6,4,0,7,5,9,Prefer not to say,10,Prefer not to say,"Never ",Sometimes,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Sometimes,"Always ","Never ",Sometimes,Prefer not to say,Sometimes,Sometimes,"Never ","Always ",I don’t like it very much,Prefer not to say,Sometimes,Sometimes,Almost never,Almost never,"Very often ",Sometimes,Almost never,Almost never,Sometimes,Prefer not to say,"Very often ",Sometimes,"Very often ",Sometimes,Sometimes,Prefer not to say,Almost never,Almost never,Often,Sometimes,Almost never,"Yes, two or more",Yes,None,Once,Prefer not to say,No,Prefer not to say,,"Doing a physical activity or sport ,Listening to music ",,,,TestLocalAuthority
2024-07-18 11:09:43,2024-07-18 11:09:43,Survey Test,100,0,True,2024-07-18 11:09:43,R_bDbXXOhfcMPkyV0,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:43,2024-07-18 11:09:43,Survey Test,100,0,True,2024-07-18 11:09:44,R_cYCIFlds2IZeGCG,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:44,2024-07-18 11:09:44,Survey Test,100,0,True,2024-07-18 11:09:44,R_enFSTVutalTDl66,test,,"Yes, I am happy to take part",P7,Prefer not to say,May,21,2046,Prefer not to say,Most of the time,More than half of the time,All of the time,Prefer not to say,Some of the time,9,9,10,Prefer not to say,9,10,0,Prefer not to say,6,5,7,Sometimes,"Always ",Sometimes,"Always ",Prefer not to say,"Always ","Always ",Prefer not to say,"Never ",Sometimes,"Always ",Sometimes,Prefer not to say,Prefer not to say,Sometimes,Sometimes,I like it a bit,A little,Prefer not to say,Almost never,"Very often ","Very often ",Prefer not to say,Prefer not to say,Sometimes,Prefer not to say,Prefer not to say,Prefer not to say,Often,Prefer not to say,Almost never,"Very often ",Almost never,Prefer not to say,Almost never,Prefer not to say,Almost never,Prefer not to say,Sometimes,"Yes, one",Prefer not to say,Two,Prefer not to say,More than two,Prefer not to say,Don't know postcode,,"Playing computer games ",,,,TestLocalAuthority
2024-07-18 11:09:44,2024-07-18 11:09:44,Survey Test,100,0,True,2024-07-18 11:09:44,R_bDUrzlzIFyPypRc,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:44,2024-07-18 11:09:44,Survey Test,100,0,True,2024-07-18 11:09:44,R_bd8KLuBVSeCtiqq,test,,"Yes, I am happy to take part",Prefer not to say,In another way,August,19,1909,Prefer not to say,At no time,Prefer not to say,Less than half of the time,Prefer not to say,At no time,0,6,2,1,Prefer not to say,1,Prefer not to say,5,3,0,10,Always,Prefer not to say,"Always ","Always ","Always ",Prefer not to say,Prefer not to say,"Always ","Never ","Never ","Never ",Prefer not to say,Prefer not to say,Sometimes,"Never ",Sometimes,I like it a bit,A lot,Prefer not to say,Sometimes,Almost never,Often,Sometimes,"Very often ",Often,"Very often ",Often,Almost never,Almost never,Sometimes,Sometimes,Prefer not to say,Sometimes,Almost never,Often,Sometimes,"Very often ",Almost never,Almost never,"Yes, two or more",No,One,Prefer not to say,One,Yes,Prefer not to say,,"Chatting/messaging friends on phone or computer ",,,,TestLocalAuthority
2024-07-18 11:09:44,2024-07-18 11:09:44,Survey Test,100,0,True,2024-07-18 11:09:45,R_3JXcInoiNYranc2,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:45,2024-07-18 11:09:45,Survey Test,100,0,True,2024-07-18 11:09:45,R_byoLBl2AKH8eC2y,test,,"Yes, I am happy to take part",P6,Girl,August,1,2009,Excellent,All of the time,At no time,All of the time,More than half of the time,Some of the time,0,Prefer not to say,2,5,9,8,7,0,1,6,5,Prefer not to say,Prefer not to say,"Never ","Never ","Always ",Sometimes,"Never ","Never ","Always ",Sometimes,"Never ",Prefer not to say,"Never ",Sometimes,Prefer not to say,"Always ",I like it a bit,Not at all,Prefer not to say,Prefer not to say,Often,Prefer not to say,Sometimes,Often,Almost never,Prefer not to say,Prefer not to say,Prefer not to say,Almost never,"Very often ","Very often ",Often,Almost never,Sometimes,"Very often ","Very often ",Almost never,Prefer not to say,Sometimes,"Yes, one",Prefer not to say,Two,Once,More than two,No,Don't know postcode,,"Chatting/messaging friends on phone or computer ",,,,TestLocalAuthority
2024-07-18 11:09:45,2024-07-18 11:09:45,Survey Test,100,0,True,2024-07-18 11:09:45,R_cPagYbnh0TTQH1c,test,,"Yes, I am happy to take part",P6,In another way,May,14,2037,Good,Less than half of the time,More than half of the time,All of the time,More than half of the time,Some of the time,5,0,10,Prefer not to say,Prefer not to say,Prefer not to say,3,5,9,8,6,"Never ","Always ",Prefer not to say,Prefer not to say,"Always ","Always ","Never ","Never ",Prefer not to say,"Always ","Always ","Never ","Never ","Always ",Prefer not to say,"Never ",I don’t like it at all,Prefer not to say,Prefer not to say,Almost never,"Very often ",Often,Almost never,Almost never,Sometimes,Often,Prefer not to say,Prefer not to say,Often,Prefer not to say,"Very often ","Very often ",Often,Sometimes,Sometimes,Prefer not to say,Prefer not to say,"Very often ",Sometimes,"Yes, one",No,One,More than twice,None,Prefer not to say,My postcode is:,EC1A 1HQ,"Chatting/messaging friends on phone or computer ,Watching TV ,Listening to music ",,,,TestLocalAuthority
2024-07-18 11:09:45,2024-07-18 11:09:46,Survey Test,100,1,True,2024-07-18 11:09:46,R_9LkcbteOWdcjmVU,test,,"Yes, I am happy to take part",Prefer not to say,In another way,October,30,1997,Prefer not to say,Prefer not to say,All of the time,More than half of the time,At no time,At no time,0,2,5,5,4,1,Prefer not to say,1,9,4,7,Sometimes,"Always ","Always ",Prefer not to say,"Never ",Prefer not to say,"Never ",Sometimes,Sometimes,"Never ",Prefer not to say,Prefer not to say,Sometimes,"Never ",Sometimes,Sometimes,Prefer not to say,Prefer not to say,Prefer not to say,Sometimes,Sometimes,Prefer not to say,Sometimes,"Very often ","Very often ",Prefer not to say,Sometimes,Often,Prefer not to say,Sometimes,Often,Prefer not to say,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Not at all,None,No,Prefer not to say,,"Hanging out with friends ,Doing a physical activity or sport ,Reading ",,,,TestLocalAuthority
2024-07-18 11:09:46,2024-07-18 11:09:46,Survey Test,100,0,True,2024-07-18 11:09:46,R_cFUuL5gXPXdUZ26,test,,"Yes, I am happy to take part",P7,Boy,January,8,1917,Good,Some of the time,At no time,Most of the time,All of the time,Prefer not to say,1,9,10,Prefer not to say,Prefer not to say,3,4,5,1,8,6,"Never ","Always ","Never ",Sometimes,Prefer not to say,Sometimes,"Never ",Sometimes,Sometimes,Prefer not to say,"Never ",Prefer not to say,Sometimes,"Always ",Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Always,Almost never,Almost never,"Very often ",Prefer not to say,Prefer not to say,Often,Almost never,"Very often ",Almost never,Prefer not to say,Often,Prefer not to say,"Very often ",Sometimes,Sometimes,"Very often ",Sometimes,Often,Prefer not to say,Prefer not to say,No,No,One,Prefer not to say,One,No,Prefer not to say,,"Going on the internet ",,,,TestLocalAuthority
2024-07-18 11:09:46,2024-07-18 11:09:46,Survey Test,100,0,True,2024-07-18 11:09:46,R_0Hx7hOPfcqitCOW,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:46,2024-07-18 11:09:46,Survey Test,100,0,True,2024-07-18 11:09:46,R_bgfacH5yKQpDck6,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:46,2024-07-18 11:09:46,Survey Test,100,0,True,2024-07-18 11:09:47,R_0HeibJgE40uGxOS,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:47,2024-07-18 11:09:47,Survey Test,100,0,True,2024-07-18 11:09:47,R_1Al6k9djumMiu10,test,,"Yes, I am happy to take part",P7,Prefer not to say,August,14,2009,Prefer not to say,Less than half of the time,Most of the time,More than half of the time,All of the time,Less than half of the time,5,2,3,2,10,8,3,9,5,6,8,Sometimes,Sometimes,Prefer not to say,"Never ",Prefer not to say,Prefer not to say,"Never ",Prefer not to say,"Never ","Never ",Sometimes,Sometimes,Prefer not to say,"Always ",Prefer not to say,"Never ",I like it a lot,A lot,Hardly ever,Sometimes,Prefer not to say,Often,"Very often ",Often,"Very often ",Prefer not to say,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Often,"Very often ",Sometimes,Sometimes,"Very often ",Sometimes,"Yes, two or more",Yes,None,Twice,None,Prefer not to say,My postcode is:,EC1A 1HQ,"Listening to music ",,,,TestLocalAuthority
2024-07-18 11:09:47,2024-07-18 11:09:47,Survey Test,100,0,True,2024-07-18 11:09:47,R_9XfaXsfZHxoVrFQ,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:47,2024-07-18 11:09:47,Survey Test,100,0,True,2024-07-18 11:09:47,R_3eihR929vAntKPc,test,,"Yes, I am happy to take part",P7,Prefer not to say,July,17,2000,Prefer not to say,Less than half of the time,Some of the time,More than half of the time,Less than half of the time,All of the time,5,2,3,Prefer not to say,4,7,4,0,2,2,3,Prefer not to say,Sometimes,Prefer not to say,Sometimes,"Always ","Never ",Prefer not to say,Prefer not to say,Prefer not to say,"Never ",Prefer not to say,"Never ",Prefer not to say,Sometimes,"Never ","Always ",I like it a lot,Not at all,Never,Very often,Sometimes,Sometimes,Prefer not to say,Often,Often,Almost never,Sometimes,Almost never,Sometimes,Often,Almost never,Almost never,Prefer not to say,Often,Often,"Very often ",Almost never,Prefer not to say,Almost never,"Yes, one",No,Two,Twice,More than two,Yes,Don't know postcode,,"Reading ,Going on the internet ,Doing things with family ",,,,TestLocalAuthority
2024-07-18 11:09:47,2024-07-18 11:09:48,Survey Test,100,1,True,2024-07-18 11:09:48,R_e9SKsrouQi4N5si,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:48,2024-07-18 11:09:48,Survey Test,100,0,True,2024-07-18 11:09:48,R_0PuuV8rECGvHYeW,test,,"Yes, I am happy to take part",P7,In another way,June,6,2027,Good,Most of the time,Most of the time,All of the time,At no time,At no time,Prefer not to say,6,1,9,2,8,2,9,Prefer not to say,5,10,Sometimes,"Always ","Always ",Prefer not to say,Prefer not to say,Sometimes,Sometimes,"Always ",Prefer not to say,"Never ","Always ",Prefer not to say,Prefer not to say,"Always ",Prefer not to say,"Always ",I don’t like it at all,Not at all,Prefer not to say,Sometimes,Almost never,Prefer not to say,Often,Prefer not to say,"Very often ",Almost never,Sometimes,Almost never,Often,Almost never,Almost never,Often,"Very often ",Often,Sometimes,Prefer not to say,Prefer not to say,Often,"Very often ","Yes, two or more",Prefer not to say,Two,Twice,Two,Yes,Don't know postcode,,"Outdoor activities (playing, walking, cycling etc) ",,,,TestLocalAuthority
2024-07-18 11:09:48,2024-07-18 11:09:48,Survey Test,100,0,True,2024-07-18 11:09:48,R_cVbxd8v0rh5O4Rw,test,,"Yes, I am happy to take part",Prefer not to say,Girl,October,7,1965,Excellent,Less than half of the time,Most of the time,Less than half of the time,At no time,All of the time,0,6,7,Prefer not to say,6,8,6,8,1,2,6,"Never ","Always ","Never ","Always ",Prefer not to say,"Always ",Sometimes,Sometimes,Sometimes,Sometimes,Prefer not to say,"Never ",Sometimes,Sometimes,Sometimes,Prefer not to say,I don’t like it very much,Not at all,Sometimes,Often,"Very often ",Almost never,Often,Sometimes,Often,Prefer not to say,Often,Prefer not to say,Often,Often,Often,Prefer not to say,Sometimes,Almost never,"Very often ",Prefer not to say,Often,Almost never,Prefer not to say,No,Yes,One,Prefer not to say,More than two,No,Prefer not to say,,"Hanging out with friends ,Doing a physical activity or sport ,Doing things with family ",,,,TestLocalAuthority
2024-07-18 11:09:48,2024-07-18 11:09:48,Survey Test,100,0,True,2024-07-18 11:09:48,R_4PHbeRbUrZZopsa,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:49,2024-07-18 11:09:49,Survey Test,100,0,True,2024-07-18 11:09:49,R_e38g8CWynfTSh6e,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
2024-07-18 11:09:49,2024-07-18 11:09:49,Survey Test,100,0,True,2024-07-18 11:09:49,R_ehC599EyotzUv0q,test,,"Yes, I am happy to take part",Prefer not to say,Prefer not to say,February,12,2046,Poor,Less than half of the time,Prefer not to say,More than half of the time,More than half of the time,Prefer not to say,6,3,4,8,2,10,3,7,5,7,8,Sometimes,"Always ",Sometimes,"Never ","Never ",Sometimes,Prefer not to say,"Never ",Prefer not to say,"Never ",Prefer not to say,Prefer not to say,"Always ","Always ","Always ",Prefer not to say,I don’t like it at all,A little,Sometimes,Very often,Prefer not to say,Sometimes,"Very often ",Often,Almost never,Almost never,Sometimes,Often,Prefer not to say,"Very often ",Sometimes,"Very often ",Prefer not to say,Often,Almost never,Almost never,"Very often ","Very often ",Sometimes,No,Yes,One,Prefer not to say,Prefer not to say,Yes,Don't know postcode,,"Watching TV ,Doing things with family ,Creative arts (drama, dance, music) ",,,,TestLocalAuthority
2024-07-18 11:09:49,2024-07-18 11:09:49,Survey Test,100,0,True,2024-07-18 11:09:49,R_ey6GKCSpIwV3CV8,test,,"Yes, I am happy to take part",Prefer not to say,In another way,October,25,2038,Prefer not to say,Some of the time,Some of the time,All of the time,More than half of the time,At no time,7,10,0,2,4,Prefer not to say,7,0,7,Prefer not to say,2,Prefer not to say,"Never ",Prefer not to say,Prefer not to say,"Always ","Never ",Prefer not to say,"Never ",Prefer not to say,Sometimes,"Always ",Prefer not to say,"Never ","Always ","Always ",Prefer not to say,I don’t like it at all,A little,Prefer not to say,Sometimes,Sometimes,Prefer not to say,Almost never,Sometimes,Almost never,Almost never,Sometimes,"Very often ",Often,"Very often ",Almost never,Sometimes,Often,Almost never,Almost never,Prefer not to say,Prefer not to say,Almost never,Sometimes,"Yes, two or more",Yes,Prefer not to say,Once,None,Prefer not to say,Prefer not to say,,Prefer not to say,,,,TestLocalAuthority
2024-07-18 11:09:49,2024-07-18 11:09:49,Survey Test,100,0,True,2024-07-18 11:09:50,R_ei0HXLP25Oo2uiy,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestLocalAuthority
